,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0051588,BP,GO:0051588,reg. of neurotransmitter transport,33/912,124/17619,2.90570441788781e-15,1.28764215775543e-12,1.10241988666631e-12,Dtnbp1/Fbxl20/Sv2b/Prkn/Unc13a/Cspg5/Ppp1r9a/Rims4/Gpr158/Unc13b/Rap1b/Syt1/Syn1/Stxbp5l/Prkcg/Prkcb/Prkca/Pfn2/Ntrk2/Nf1/Mef2c/Ica1/Htr2c/Grm8/Gpm6b/Cask/Camk2a/Cacnb4/Cacna1e/Cacna1a/Atp2a2/Rims2/Rims1,33
GO:0006836,BP,GO:0006836,neurotransmitter transport,45/912,225/17619,3.29839289564152e-15,1.36421530163733e-12,1.16797828430927e-12,Dtnbp1/Slc17a7/Fbxl20/Sv2b/Prkn/Unc13a/Cspg5/Cadps/Pclo/Ppp1r9a/Rims4/Gpr158/Erc2/Slc6a17/Syt11/Lin7b/Unc13b/Rap1b/Syt1/Syn2/Syn1/Stxbp5l/Snap91/Snap25/Prkcg/Prkcb/Prkca/Pfn2/Ntrk2/Nrxn3/Nrxn1/Nf1/Mef2c/Ica1/Htr2c/Grm8/Gpm6b/Cask/Camk2a/Cacnb4/Cacna1e/Cacna1a/Atp2a2/Rims2/Rims1,45
GO:1901888,BP,GO:1901888,reg. of cell junction assembly,45/912,246/17619,9.90755520434773e-14,3.84165453048583e-11,3.28904760270649e-11,Adgrl2/Nedd4l/Slitrk1/Clasp2/Rapgef2/Lrrtm1/Dusp3/Pkp2/Cntnap2/Tsc1/Flrt2/Il1rapl1/Negr1/Mdga2/Lrtm1/Ephb1/Ppp1r9a/Lrrtm4/Lingo2/Lzts3/Clstn3/Lrrtm3/Lzts1/Sema4d/Rock2/Ptprs/Ptprd/Ptk2b/Prkca/Enpp2/Numb/Ntrk3/Ntrk2/Nrxn1/Nrp1/Mef2c/Smad3/Il1rap/Elavl2/Grin1/Gpm6b/Fmn1/Efna5/Asic2/Mycbp2,45
GO:0035249,BP,GO:0035249,"synaptic trans., glutamatergic",31/912,127/17619,2.60403342386061e-13,8.97523520090624e-11,7.68418284023429e-11,Dtnbp1/Cacng8/Cacng7/Slc17a7/Gria3/Prkn/Unc13a/Clstn3/Unc13b/Tnr/Syt1/Ptk2b/Plat/Ntrk2/Nrxn1/Nf1/Mef2c/Grm8/Nr3c1/Grin2b/Grin1/Grid1/Gria4/Gria2/Gria1/Ext1/Cacng2/Cacnb4/Cacna1a/Grm3/Dgkz,31
GO:0031346,BP,GO:0031346,positive reg. of cell projection org.,63/912,457/17619,9.88717776957127e-13,3.22842373065369e-10,2.76402764682862e-10,Slitrk1/Rapgef2/Grip1/P2ry12/Wls/Akirin1/Dynll1/Sh3glb1/Ahi1/Magi2/Atp8a2/Cdkl5/Il1rapl1/Myo3b/Abi2/Negr1/Auts2/Adcy10/Cdc42ep3/Rgma/Ppp1r9a/Lrrc7/Tenm1/Fez1/Septin7/Ndrg4/Gpm6a/Zmynd8/Camk1d/Dpysl3/Fnbp1l/Hdac4/Snap91/Skil/Sgk1/Sema4d/Rit2/Ret/Ptprd/Ptk2b/Enpp2/Palm/Numb/Ntrk3/Ntrk2/Nrxn1/Nrp1/Nf1/Mapt/Map1b/Afdn/Lyn/Igf1r/Elavl4/Grin1/Epha4/Efna5/Dscam/Cobl/Cntn1/Cask/Apc/Rhoq,63
GO:1990778,BP,GO:1990778,protein local. to cell periphery,57/912,390/17619,1.09472822333183e-12,3.39584694877533e-10,2.90736769206968e-10,Kcnb2/Pid1/Sacm1l/Cacng7/Kcnip4/Sptbn4/Efr3a/Clasp2/Rapgef2/Grip1/Pkp2/Rab3c/Tesc/Lgi1/Vamp4/Magi2/Atp2b4/Zdhhc23/Epb41/Dpp10/Gphn/Mapk10/Lrrc7/Ypel4/Gpr158/Dlg2/Ppp2r5a/Lin7b/Arhgap44/Snap25/Rock2/Rapgef6/Ptch1/Palm/Numb/Nsf/Nrxn3/Nrxn1/Afdn/Kif1b/Grin1/Gnai1/Fgf13/Emp2/Cask/Camk2g/Camk2a/Cacng2/Cacnb2/Atp1b3/Ank3/Adam22/Actn2/Exoc5/Ttc7b/Rhoq/Pls1,57
GO:0048588,BP,GO:0048588,developmental cell growth,43/912,282/17619,1.76214022974933e-10,4.20473768667877e-08,3.59990267178749e-08,Nedd4l/Tmem108/Cacng7/Clasp2/Akap13/Rtn4r/Sh3glb1/Prkn/Cdkl5/Unc13a/Auts2/Ulk2/Adcy10/Map2k4/Rgma/Septin7/Sorbs2/Clstn3/Tnr/Syt1/Slit3/Sh3gl2/Sema4d/Sema3e/Ptprs/Ntrk3/Nrp1/Mapt/Map2/Map1b/Afdn/Smad7/Ifrd1/Nr3c1/Fgf13/Ext1/Efna5/Dscam/Dclk1/Cobl/Rims2/Rims1/Syt17,43
GO:0007611,BP,GO:0007611,learning or memory,47/912,328/17619,2.17558912556464e-10,4.99902034629741e-08,4.27993088795289e-08,Hrh3/Dtnbp1/Csmd1/Slc17a7/Cntnap2/Tsc1/Brinp1/Prkn/Abi2/Abca7/Tafa2/Prrt1/Itga8/Pde4d/Ndrg4/Clstn3/Syt11/Btbd9/Tnr/Amph/Kmt2a/Cpeb3/Snap25/Sgk1/Atxn1/Prkar1b/Plcb1/Prkca/Ntrk2/Nrxn3/Nrxn1/Nf1/Ncam1/Mapt/Meis2/Mef2c/Man2b1/Jun/Elavl4/Grin2b/Grin1/Gria1/Fgf13/Casp3/Cacna1e/Atp8a1/Gabra5,47
GO:0007626,BP,GO:0007626,locomotory behavior,41/912,266/17619,3.35441874420614e-10,7.17614272036376e-08,6.14388275254599e-08,Slc4a10/Klhl1/Sptbn4/Lrrtm1/Pex13/Cntnap2/Tsc1/Htra2/Sez6l/Uchl3/Prkn/Negr1/Mapk10/Btbd9/Tnr/Snap25/Scn1a/Atxn1/Oprm1/Mapt/Oxr1/Kcnma1/Kcnd2/Elavl4/Htr2c/Hexb/Grin1/Gaa/Fgf14/Fgf12/Epha4/Dscam/Dab1/Cntn1/Cacnb4/Cacna1e/Cacna1a/Aplp2/Adam22/Sobp/Inpp5f,41
GO:0035418,BP,GO:0035418,protein localization to synapse,23/912,99/17619,8.99141297380501e-10,1.7449955547944e-07,1.49398479240771e-07,Sacm1l/Cacng7/Lrrtm1/Grip1/Lgi1/Magi2/Pclo/Gphn/Mapk10/Lrrc7/Dlg2/Clstn3/Arhgap44/Snap25/Nrxn3/Nrxn1/Mapt/Grin1/Camk2a/Cacng2/Bsn/Adam22/Asic2,23
GO:0018209,BP,GO:0018209,peptidyl-serine modification,44/912,308/17619,9.09339990873211e-10,1.7449955547944e-07,1.49398479240771e-07,Sptbn4/Rptor/Csnk1g3/Smyd3/Mast3/Atp2b4/Myo3b/Ulk2/Sh2d3c/Mapk9/Mapk8/Mapk14/Spry2/Tenm1/Pde4d/Akt3/Camkv/Tlk1/Camk1d/Srpk2/Sgk1/Rock2/Ret/Ripk2/Prkcg/Prkcb/Prkca/Pfn2/Ntrk3/Ntrk2/Nrxn1/Nlk/Mast2/Mknk1/Smad7/Sgk3/Hipk3/Eif2ak3/Dclk1/Camk2a/Bdkrb2/Rps6ka3/Galnt16/Inpp5f,44
GO:0018105,BP,GO:0018105,peptidyl-serine phosphorylation,43/912,297/17619,9.28189124890639e-10,1.7449955547944e-07,1.49398479240771e-07,Sptbn4/Rptor/Csnk1g3/Smyd3/Mast3/Atp2b4/Myo3b/Ulk2/Sh2d3c/Mapk9/Mapk8/Mapk14/Spry2/Tenm1/Pde4d/Akt3/Camkv/Tlk1/Camk1d/Srpk2/Sgk1/Rock2/Ret/Ripk2/Prkcg/Prkcb/Prkca/Pfn2/Ntrk3/Ntrk2/Nrxn1/Nlk/Mast2/Mknk1/Smad7/Sgk3/Hipk3/Eif2ak3/Dclk1/Camk2a/Bdkrb2/Rps6ka3/Inpp5f,43
GO:0050806,BP,GO:0050806,positive reg. of synaptic transmission,34/912,205/17619,1.57091911445328e-09,2.63404923947788e-07,2.25515159360775e-07,Dtnbp1/Cacng8/Cacng7/Lrrtm1/Mir124-2hg/Nrgn/Lgi1/Unc13a/Mir124a-1hg/Prrt1/Ppp1r9a/Rims4/Gpr158/Clstn3/Tnr/Syt1/Cpeb3/Snap25/Ptk2b/Prkar1b/Prkcg/Ntrk2/Nrxn1/Nf1/Htr2c/Grin2b/Grin1/Gria4/Gria2/Gria1/Epha4/Cacng2/Rims2/Rims1,34
GO:0001764,BP,GO:0001764,neuron migration,34/912,206/17619,1.79018754667356e-09,2.92271672093757e-07,2.50229539072432e-07,Ntng1/Myh10/Rapgef2/Pex13/Kirrel3/Zswim6/Sh3rf1/Flrt2/Cdkl5/Abi2/Mdga2/Auts2/Fat3/Mapk8/Nexmif/Gpm6a/Mark1/Mrtfa/Phactr1/Satb2/Ulk4/Spock1/Sema3e/Ntrk3/Ntrk2/Nrp1/Mapt/Mef2c/Matn2/Foxg1/Fgf13/Dclk1/Dab1/Camk2a,34
GO:0098742,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,34/912,208/17619,2.31819431783427e-09,3.68771219175482e-07,3.15724926526093e-07,Ntng1/Slitrk1/Kirrel3/Cntn6/Magi2/Il1rapl1/Cdh10/Mdga2/Nrcam/Fat3/Mapk14/Cdh7/Cadm2/Tenm4/Tenm2/Tenm1/Cdh20/Sdk2/Clstn3/Igsf21/Pcdh17/Ret/Ptprs/Ptprd/Nrxn1/Il1rap/Efna5/Dscam/Dab1/Cxadr/Cdh6/Cdh13/Dscaml1/Acvr1,34
GO:0060560,BP,GO:0060560,developmental growth involved in morphogenesis,41/912,284/17619,2.49301983763036e-09,3.86667376816469e-07,3.31046792123231e-07,Nedd4l/Tmem108/Cacng7/Clasp2/Rtn4r/Sh3glb1/Prkn/Cdkl5/Unc13a/Auts2/Ulk2/Adcy10/Kif26b/Rgma/Spry2/Septin7/Clstn3/Tnr/Syt1/Slit3/Sh3gl2/Sema4d/Sema3e/Ptprs/Ntrk3/Nrp1/Mapt/Map2/Map1b/Afdn/Ifrd1/Fmn1/Fgf13/Ext1/Efna5/Dscam/Dclk1/Cobl/Rims2/Rims1/Syt17,41
GO:0017157,BP,GO:0017157,reg. of exocytosis,35/912,221/17619,3.19397661957446e-09,4.71665370812039e-07,4.03818158254021e-07,Dtnbp1/Clasp2/Fbxl20/Rab3c/Sv2b/Sdcbp/Prkn/Il1rapl1/Cspg5/Cadps/Vsnl1/Pclo/Rims4/Syt11/Unc13b/Rap1b/Syt1/Syn1/Stxbp5l/Prkcg/Prkcb/Prkca/Pfn2/Nsf/Lyn/Cask/Cacnb4/Cacna1e/Cacna1a/Atp9a/Atp2a2/Rims2/Rims1/Syt17/Abr,35
GO:0019226,BP,GO:0019226,transmission of nerve impulse,23/912,106/17619,3.73397392130733e-09,5.14790537950904e-07,4.40739939343083e-07,Cacng8/Cacng7/Sptbn4/Cntnap2/Nrcam/Tnr/Scn3a/Scn1a/Oprm1/Ntrk3/Ntrk2/Kcnma1/Kcnd2/Kcna2/Hcn1/Gria1/Fgf12/Cacng2/Cacnb4/Cacna1e/Cacna1a/Ank3/Kcnq3,23
GO:0030534,BP,GO:0030534,adult behavior,31/912,187/17619,8.34013958928086e-09,1.07796304191455e-06,9.22902288761211e-07,Klhl1/Sptbn4/Slitrk1/Cntnap2/Tsc1/Htra2/Sez6l/Uchl3/Prkn/Homer2/Btbd9/Pcdh17/Ulk4/Scn1a/Atxn1/Oprm1/Nrxn3/Nrxn1/Mapt/Oxr1/Kcnma1/Htr2c/Grin1/Fgf14/Fgf12/Epha4/Dab1/Cacnb4/Cacna1a/Adam22/Inpp5f,31
GO:0099560,BP,GO:0099560,synaptic membrane adhesion,13/912,36/17619,1.33813906888028e-08,1.69424791496598e-06,1.45053700141137e-06,Ntng1/Slitrk1/Magi2/Cdh10/Mdga2/Mapk14/Pcdh17/Ptprs/Ptprd/Nrxn1/Il1rap/Efna5/Cdh6,13
GO:0031345,BP,GO:0031345,negative reg. of cell projection org.,34/912,224/17619,1.61240743511161e-08,1.96144622106519e-06,1.67929987978807e-06,Dtnbp1/Rapgef2/Dleu2/Rtn4r/Tsc1/Diaph2/Ulk2/Fat3/Rgma/Spry2/Rtn4rl1/Ntm/Dpysl3/Tnr/Mylip/Arhgap44/Spock1/Sema4d/Sema3e/Rit2/Dennd5a/Ptprs/Pfn2/Nrxn1/Nrp1/Map2/Ifrd1/Grin2b/Fgf13/Epha4/Efnb2/Dab1/Crmp1/Inpp5f,34
GO:0051648,BP,GO:0051648,vesicle localization,33/912,215/17619,1.98075703938075e-08,2.31860691930532e-06,1.9850844132503e-06,Dtnbp1/Tanc2/Clasp2/Sdcbp/Ahi1/Prkn/Magi2/Unc13a/Cadps/Pclo/Mapk8/Map4k2/Myrip/Syt11/Unc13b/Pcdh17/Fnbp1l/Syn2/Syn1/Snap91/Snap25/Nrxn1/Map2/Kif1b/Dnm1/Dync1i1/Dctn1/Bsn/Atp9a/Ap3s1/Rims1/Exoc5/Fbxw11,33
GO:0002028,BP,GO:0002028,reg. of sodium ion transport,20/912,89/17619,2.05739428783757e-08,2.36371743736005e-06,2.02370596031742e-06,Hecw1/Nedd4l/Sptbn4/Tesc/Fxyd7/Atp2b4/Hecw2/Akt3/Ahcyl1/Slc8a1/Sgk1/Plcb1/Fxyd5/Fgf14/Fgf13/Fgf12/Cntn1/Atp1b3/Atp1a1/Ank3,20
GO:0006887,BP,GO:0006887,exocytosis,47/912,383/17619,3.4570903140406e-08,3.63521835734032e-06,3.11230646291683e-06,Dtnbp1/Sacm1l/Myh10/Clasp2/Fbxl20/Scrn1/Rab3c/Sv2b/Sdcbp/Prkn/Unc13a/Il1rapl1/Cspg5/Cadps/Vsnl1/Pclo/Rims4/Erc2/Syt11/Lin7b/Unc13b/Rap1b/Syt1/Syn2/Syn1/Stxbp5l/Snap25/Prkcg/Prkcb/Prkca/Pfn2/Nsf/Ncam1/Lyn/Cask/Camk2a/Cacnb4/Cacna1e/Cacna1a/Atp9a/Atp2a2/Rims2/Rims1/Kcnq3/Syt17/Abr/Exoc5,47
GO:0034762,BP,GO:0034762,reg. of transmembrane transport,56/912,498/17619,3.7825118803595e-08,3.91111728429172e-06,3.34851841198141e-06,Pid1/Hecw1/Nedd4l/Cacng8/Cacng7/Kcnip4/Tcaf1/Adipor2/Tesc/Fxyd7/Ahi1/Atp2b4/Hecw2/Kcnrg/Dpp10/Mapk14/Prrt1/Azin2/Pde4d/Osbpl8/Ahcyl1/Trib3/Sestd1/Slc8a1/Slc7a5/Rasgrf1/Ptk2b/Plcb1/Prkcb/Prkca/Pea15a/Fxyd5/Oaz2/Nrxn1/Mef2c/Mef2a/Lyn/Kcnj4/Insr/Grin1/Gnb5/Fgf14/Fgf13/Fgf12/Chrm3/Casq1/Cacng2/Cacnb4/Cacnb2/Cacna2d1/Cacna1d/Atp1b3/Ank3/Actn2/Asic2/Rhoq,56
GO:0031400,BP,GO:0031400,negative reg. of protein modification process,51/912,435/17619,4.07026957127091e-08,4.13966433117455e-06,3.54418986309457e-06,Pid1/Dtnbp1/Cmya5/Camk2n2/Dusp3/Dusp16/Smyd3/Ctdspl/Prkn/Atp2b4/Ppm1e/Spry2/Sh3bp5/Pde4d/Ppp1r16b/Trib3/Pip5kl1/Ube2b/Ncoa7/Sox4/Slc8a1/Sh3gl2/Sema4d/Rock2/Ptpn1/Prkar1b/Ppargc1a/Pkig/Prkcg/Prkca/Ntrk3/Nf1/Nck2/Mapt/Smad7/Lyn/Oxr1/Jun/Insr/Hspa4/Dnaja1/Hipk3/Casp3/Bex3/Bdkrb2/Apc/Ivns1abp/Spred1/Prkag2/Prkaa2/Inpp5f,51
GO:0042326,BP,GO:0042326,negative reg. of phosphorylation,42/912,331/17619,7.25628059345728e-08,7.14570869869984e-06,6.11782654546123e-06,Pid1/Dtnbp1/Camk2n2/Dusp3/Dusp16/Smyd3/Ctdspl/Dynll1/Prkn/Ppm1e/Spry2/Sh3bp5/Pde4d/Trib3/Pip5kl1/Ppp2r5a/Slc8a1/Sh3gl2/Sema4d/Atxn1/Ptpn1/Prkar1b/Ppargc1a/Pkig/Prkca/Ntrk3/Nf1/Nck2/Mapt/Smad7/Lyn/Jun/Insr/Hspa4/Dnaja1/Hipk3/Casp3/Bdkrb2/Apc/Spred1/Prkag2/Inpp5f,42
GO:0099565,BP,GO:0099565,"chemical synaptic transmission, postsynaptic",22/912,114/17619,7.70729048967567e-08,7.47125471842936e-06,6.39654404784596e-06,Tmem108/Anks1b/Slc17a7/Cntnap2/Gria3/Prkn/Pclo/Ppp1r9a/Zmynd8/Unc13b/Atxn1/Ptk2b/Prkar1b/Oprm1/Nrxn1/Afdn/Mef2c/Grin2b/Grin1/Rims2/Rims1/Celf4,22
GO:1903539,BP,GO:1903539,protein localization to postsynaptic membrane,16/912,66/17619,1.73595978586173e-07,1.53855635878374e-05,1.31724106458019e-05,Sacm1l/Cacng7/Grip1/Lgi1/Magi2/Gphn/Mapk10/Lrrc7/Dlg2/Arhgap44/Snap25/Nrxn3/Grin1/Camk2a/Cacng2/Adam22,16
GO:0043087,BP,GO:0043087,reg. of GTPase activity,39/912,306/17619,1.88657709443695e-07,1.64849637942068e-05,1.41136664470405e-05,Arhgap15/Rapgef2/Tbc1d9/Gpsm1/Tbc1d2b/Rtn4r/Tsc1/Tbc1d1/Ralgapa1/Iqgap2/Rgs11/Rgs6/Tbc1d2/Lrch1/Agap1/Rgma/Spry2/Arhgap22/Grhl3/Arhgap1/Dennd1a/Ric1/Arhgap44/Arap2/Asap2/Sema4d/Rasgrf1/Rapgef6/Ntrk3/Ntrk2/Nf1/Myo9b/Gnb5/Epha4/Efna5/Asap1/Abr/Chn1/Dock9,39
GO:0048638,BP,GO:0048638,reg. of developmental growth,46/912,393/17619,1.98212675327429e-07,1.70793255240468e-05,1.46225315745937e-05,Nedd4l/Cacng7/Sptbn4/Clasp2/Rtn4r/Htra2/Sh3glb1/Prkn/Atp8a2/Cdkl5/Unc13a/Ulk2/Adcy10/Mapk14/Rgma/Tnr/Syt1/Sema4d/Sema3e/Ptprs/Ptch1/Plcb1/Ntrk3/Nrp1/Ncam1/Mapt/Map2/Map1b/Afdn/Mef2c/Smad7/Insr/Igf1r/Ifrd1/Nr3c1/Flt3/Fgf13/Efna5/Dscam/Cxadr/Apc/Rims2/Rims1/Syt17/Mycbp2/Pls1,46
GO:0022604,BP,GO:0022604,reg. of cell morphogenesis,36/912,273/17619,2.3959844336891e-07,1.9691442462189e-05,1.68589057423404e-05,Nedd4l/Cacng7/Ntng1/Myh10/Arhgap15/Grip1/Cdc42se2/Rhou/Wls/Pakap/Sh3glb1/Prkn/Cdkl5/Unc13a/Il1rapl1/Epb41/Cdc42ep3/Ypel4/Syt1/Sgk1/Sema4d/Sema3e/Ptprd/Ptk2b/Enpp2/Palm/Numb/Afdn/Hexb/Epha4/Efna5/Cask/Rims2/Rims1/Syt17/Rhoq,36
