,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0031252,CC,GO:0031252,cell leading edge,10/173,419/28618,0.000248762,0.01744814,0.01368037,Wls/Tesc/Iqgap2/Syne2/Dagla/Itga8/Arhgap1/Dpysl3/Kitl/Slc39a6,10
GO:0035976,CC,GO:0035976,transcription factor AP-1 complex,2/173,5/28618,0.000359015,0.01744814,0.01368037,Jund/Jun,2
GO:0030027,CC,GO:0030027,lamellipodium,6/173,183/28618,0.000889694,0.034481666,0.027035658,Tesc/Iqgap2/Syne2/Dpysl3/Kitl/Slc39a6,6
GO:0031258,CC,GO:0031258,lamellipodium membrane,2/173,8/28618,0.000993299,0.034481666,0.027035658,Syne2/Slc39a6,2
GO:0030695,MF,GO:0030695,GTPase regulator activity,12/167,430/28396,9.89920899469788e-06,0.001998687,0.001554676,Sipa1l3/Arhgef10l/Ccdc88c/Gpsm1/Tbc1d1/Iqgap2/Rgs6/Sh2d3c/Arhgap1/Asap2/Jun/Abr,12
GO:0060589,MF,GO:0060589,nucleoside-triphosphatase regulator activity,12/167,430/28396,9.89920899469788e-06,0.001998687,0.001554676,Sipa1l3/Arhgef10l/Ccdc88c/Gpsm1/Tbc1d1/Iqgap2/Rgs6/Sh2d3c/Arhgap1/Asap2/Jun/Abr,12
GO:0005096,MF,GO:0005096,GTPase activator activity,9/167,237/28396,1.20402859326203e-05,0.001998687,0.001554676,Sipa1l3/Arhgef10l/Tbc1d1/Iqgap2/Rgs6/Arhgap1/Asap2/Jun/Abr,9
GO:0035374,MF,GO:0035374,chondroitin sulfate binding,3/167,9/28396,1.63514685414876e-05,0.002035758,0.001583511,Rtn4r/Rtn4rl1/Dpysl3,3
GO:0042979,MF,GO:0042979,ornithine decarboxylase regulator activity,2/167,5/28396,0.000339837,0.03384776,0.026328421,Azin2/Oaz2,2
GO:0046982,MF,GO:0046982,protein heterodimerization activity,8/167,313/28396,0.00055524,0.041789877,0.032506182,Trmt112/Snx1/Mapk4/Mttp/Ddit3/Cenpa/Bdkrb2/Arnt2,8
GO:0030275,MF,GO:0030275,LRR domain binding,3/167,28/28396,0.000587408,0.041789877,0.032506182,Mrtfa/Ncam1/Ddit3,3
GO:0004860,MF,GO:0004860,protein kinase inhibitor activity,4/167,70/28396,0.000782178,0.045304241,0.035239824,Camk2n2/Tesc/Trib3/Casp3,4
GO:0030165,MF,GO:0030165,PDZ domain binding,5/167,123/28396,0.000818751,0.045304241,0.035239824,Ccdc88c/Atp2b4/Lzts3/Kcnj4/Lnx2,5
