"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008038","BP","GO:0008038","neuron recognition","10/443","49/17619",3.11757146719932e-07,8.3788140478516e-05,7.37209919624594e-05,"Diaph2/Nrcam/Cntn5/Robo1/Nrp1/Ephb3/Epha3/Emb/Bdnf/Dscaml1",10
"GO:0099173","BP","GO:0099173","postsynapse organization","22/443","253/17619",4.6918031160363e-07,0.000117034422172239,0.000102972731546691,"Zdhhc2/Cadm1/Magi2/Cdkl5/Nrcam/Ephb1/Homer1/Cnksr2/Zfp804a/Shisa7/Abhd17a/Lzts1/Rph3a/Ntrk3/Nrp1/Il1rap/Grin2a/Grid2/Ephb3/Epha7/Dgkz/Etv5",22
"GO:0048167","BP","GO:0048167","regulation of synaptic plasticity","22/443","255/17619",5.36752687814374e-07,0.000126843135172976,0.000111602927277969,"Zdhhc2/Mir124-2hg/Adcy1/Unc13a/Mgll/Shisa7/Npas4/Lzts1/Rara/Ntrk2/Htr7/Hmgcr/Grin2a/Grid2/Kcnn2/Bdnf/Rims2/Adrb1/Adcy8/Slc8a3/Kcnq3/Grm5",22
"GO:0007611","BP","GO:0007611","learning or memory","24/443","328/17619",3.14738287691188e-06,0.000706587455866717,0.000621690944055278,"B3gat1/Adcy1/Abca7/Shisa7/Npas4/Shc3/Plcb1/Prkca/Ntrk2/Meis2/Ldlr/Kcnab1/Htr7/Htr2a/Hmgcr/Grin2a/Camk4/Bdnf/Adrb1/Adcy8/Foxp2/Slc8a3/Gabra5/Grm5",24
"GO:0006936","BP","GO:0006936","muscle contraction","23/443","318/17619",6.11465374854644e-06,0.00119368675352059,0.00105026524111189,"Sulf2/Cacna1h/Abat/Homer1/Sgcd/Hdac4/Sstr2/Ryr3/Ryr1/Prkd1/Prkca/Pde4b/Htr7/Htr2a/Nr4a1/Kcnn2/Chrm3/Cacna2d1/Cacna1g/Atp1a1/Adrb1/Adra1a/Slc8a3",23
"GO:0035418","BP","GO:0035418","protein localization to synapse","12/443","99/17619",7.037268621757e-06,0.00131655567132037,0.00115837145339711,"Rab27b/Cnih3/Zdhhc2/Lgi1/Magi2/Homer1/Mapk10/Lrrc7/Grin2a/Gpc4/Cacng2/Asic2",12
"GO:0034762","BP","GO:0034762","regulation of transmembrane transport","30/443","498/17619",9.90226365591133e-06,0.00164670977092748,0.00144885752439124,"Pid1/Kcnip4/Cnih3/Kcnip1/Ahi1/Dysf/Homer1/Trpc3/Slc1a2/Plcb1/Prkd1/Prkce/Prkca/Per2/Pde4b/Nr4a3/Kcnj3/Kcnab1/Irs1/Grin2a/Kcnn2/Opn3/Chrm3/Cacng2/Cacnb4/Cacna2d1/Agtr1a/Adrb1/Asic2/Grm5",30
"GO:0007214","BP","GO:0007214","gamma-aminobutyric acid signaling pathway","7/443","32/17619",1.18307595030364e-05,0.00189714679173691,0.00166920452687578,"Shisa7/Plcl2/Gabrb2/Gabra1/Cacnb4/Bdnf/Gabra5",7
"GO:0044331","BP","GO:0044331","cell-cell adhesion mediated by cadherin","8/443","45/17619",1.42841606509335e-05,0.00214453452735225,0.0018868686159074,"Cdh10/Nexmif/Cdh24/Plekha7/Cdh8/Cdh6/Cdh4/Cdh11",8
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","25/443","383/17619",1.44539149905304e-05,0.00214453452735225,0.0018868686159074,"Adgrl2/Cdon/Syndig1/Cdkl5/Ephb1/Lingo2/Vegfc/Robo1/Prkca/Enpp2/Ntrk3/Ntrk2/Nrp1/Man2a1/Lrrn3/Il1rap/Grid2/Ephb3/E2f1/Dcx/Cdh4/Bdnf/Asic2/Grm5/Etv5",25
"GO:1903522","BP","GO:1903522","regulation of blood circulation","20/443","267/17619",1.4806363106441e-05,0.00214453452735225,0.0018868686159074,"Cacna1h/Kcnd3/Mgll/Thrb/Hdac4/Prkca/Per2/Pde4b/Htr7/Htr2a/Hmgcr/Kcnn2/Chrm3/Cacna2d1/Cacna1g/Atp1a1/Agtr1a/Adrb1/Adra1a/Asic2",20
"GO:0016126","BP","GO:0016126","sterol biosynthetic process","9/443","62/17619",2.30515343447612e-05,0.00295718254879936,0.00260187694423726,"Dhcr24/Msmo1/Hmgcs1/Srebf2/Sqle/Nsdhl/Hmgcr/Fgf1/Fdft1",9
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","22/443","323/17619",2.47110530325066e-05,0.00308201744766541,0.00271171292488296,"Cacna1h/Dysf/Cacna1i/Trpc4/Trpc3/Micu1/Ryr3/Ryr1/Plcb1/Prkd1/Prkce/Pde4b/Htr2a/Grin2a/Cacng2/Cacnb4/Cacna2d1/Cacna1g/Agtr1a/Adrb1/Adra1a/Slc8a3",22
"GO:0043279","BP","GO:0043279","response to alkaloid","10/443","79/17619",2.78986311664065e-05,0.00338553659289635,0.00297876423236198,"Abat/Homer1/Slc1a2/Ryr1/Ppp5c/Prkce/Irs1/Htr2a/Bdnf/Adcy8",10
"GO:0070509","BP","GO:0070509","calcium ion import","10/443","81/17619",3.47848077197564e-05,0.00400471247850529,0.00352354610991217,"Cacna1h/Dysf/Homer1/Cacna1i/Trpc4/Micu1/Cacna1g/Agtr1a/Adrb1/Slc8a3",10
"GO:1903539","BP","GO:1903539","protein localization to postsynaptic membrane","9/443","66/17619",3.84880222437994e-05,0.00421490780182096,0.00370848645650781,"Cnih3/Zdhhc2/Lgi1/Magi2/Mapk10/Lrrc7/Grin2a/Gpc4/Cacng2",9
"GO:0002042","BP","GO:0002042","cell migration involved in sprouting angiogenesis","8/443","55/17619",6.47738027819486e-05,0.00619018163300958,0.00544643105583986,"Hdac9/Fbxw7/Jcad/Akt3/Robo1/Nrp1/Nr4a1/Spred1",8
"GO:0006937","BP","GO:0006937","regulation of muscle contraction","14/443","164/17619",7.02124266372392e-05,0.00646147814215556,0.00568513127828152,"Cacna1h/Abat/Hdac4/Ryr1/Prkd1/Prkca/Pde4b/Htr7/Nr4a1/Chrm3/Atp1a1/Adrb1/Adra1a/Slc8a3",14
"GO:0097553","BP","GO:0097553","calcium ion transmembrane import into cytosol","15/443","185/17619",7.05150175869983e-05,0.00646147814215556,0.00568513127828152,"Cacna1i/Trpc3/Ryr3/Ryr1/Plcb1/Prkd1/Prkce/Htr2a/Grin2a/Cacna2d1/Cacna1g/Agtr1a/Adrb1/Adra1a/Slc8a3",15
"GO:1902653","BP","GO:1902653","secondary alcohol biosynthetic process","8/443","57/17619",8.41354582135658e-05,0.00740721975252766,0.00651724199536661,"Dhcr24/Msmo1/Hmgcs1/Srebf2/Nsdhl/Hmgcr/Fgf1/Fdft1",8
"GO:0008203","BP","GO:0008203","cholesterol metabolic process","13/443","148/17619",9.47050080607751e-05,0.00817741319601693,0.00719489666502205,"Dhcr24/Ttc39b/Msmo1/Thrb/Hmgcs1/Srebf2/Sqle/Nsdhl/Ldlr/Hmgcr/Fgf1/Fdft1/Cyp11a1",13
"GO:1901653","BP","GO:1901653","cellular response to peptide","21/443","331/17619",0.000104125352506048,0.00845342413516151,0.00743774487850455,"Pid1/Hdac9/Uchl3/Grb14/Akt3/Cpeb2/Socs2/Ptprj/Plcb1/Prkd1/Prkca/Pip4k2a/Nr4a3/Irs1/Ide/Nr4a1/Cyp11a1/Cacna2d1/Agtr1a/Adcy8/Grm5",21
"GO:0001976","BP","GO:0001976","nervous system process involved in regulation of systemic arterial blood pressure","5/443","20/17619",0.000111455813867951,0.00862821731494997,0.00759153665057021,"Rps6ka2/Chrm3/Agtr1a/Adra1a/Asic2",5
"GO:0001654","BP","GO:0001654","eye development","24/443","410/17619",0.000119253596833401,0.0090754008437622,0.00798499106004913,"Pbx4/Cdon/Ahi1/Uchl3/Ephb1/Fat3/Nphp4/Thrb/Adamts18/Rara/Ntrk3/Ntrk2/Nrp1/Nfia/Meis2/Man2a1/Fgf9/Dcx/Bdnf/Aldh1a1/Spred1/Foxp2/Prickle1/Spred3",24
"GO:0099565","BP","GO:0099565","chemical synaptic transmission, postsynaptic","11/443","114/17619",0.000141054969429775,0.0100529652815823,0.0088451010905588,"Gria3/Abat/Npas4/Sez6/Grin2a/Grid2/Gabrb2/Bdnf/Rims2/Adrb1/Slc8a3",11
"GO:0019227","BP","GO:0019227","neuronal action potential propagation","4/443","12/17619",0.000166255218437667,0.0109777342762518,0.00965875905257838,"Nrcam/Ntrk3/Ntrk2/Cacnb4",4
"GO:0006836","BP","GO:0006836","neurotransmitter transport","16/443","225/17619",0.000191165439041066,0.0118245095491991,0.0104037942417405,"Sv2b/Unc13a/Cadps2/Slc6a7/Lin7b/Syt2/Slc1a2/Rph3a/Prkca/Per2/Ntrk2/Kcnh1/Nr4a1/Grm8/Cacnb4/Rims2",16
"GO:1902652","BP","GO:1902652","secondary alcohol metabolic process","13/443","159/17619",0.000194880558271878,0.0118245095491991,0.0104037942417405,"Dhcr24/Ttc39b/Msmo1/Thrb/Hmgcs1/Srebf2/Sqle/Nsdhl/Ldlr/Hmgcr/Fgf1/Fdft1/Cyp11a1",13
"GO:0003018","BP","GO:0003018","vascular process in circulatory system","17/443","249/17619",0.000198167133182824,0.0118636057065451,0.0104381929941774,"Ddah1/Mgll/Plekha7/Slc16a2/Ptprj/Ptp4a3/Per2/Npr3/Htr7/Htr2a/Hmgcr/Chrm3/Cacna1g/Agtr1a/Adrb1/Adra1a/Asic2",17
"GO:1990138","BP","GO:1990138","neuron projection extension","15/443","204/17619",0.000209560343222264,0.0123806044877364,0.0108930743505977,"Nrn1/Cdkl5/Unc13a/Mgll/Sema6d/Syt2/Slit3/Robo1/Ntrk3/Nrp1/Dcx/Cdh4/Bdnf/Rims2/Prickle1",15
"GO:1903532","BP","GO:1903532","positive regulation of secretion by cell","22/443","379/17619",0.000255415442514225,0.0148937056738815,0.0131042263261229,"Rab27b/Pex5l/Cacna1h/Unc13a/Cadps2/Exph5/Vsnl1/Abat/Myrip/Cacna1i/Vegfc/Frmd4a/Plcb1/Prkd1/Prkce/Prkca/Pcsk1/Irs1/Chrm3/Cckbr/Cacna1g/Adcy8",22
"GO:0043534","BP","GO:0043534","blood vessel endothelial cell migration","11/443","123/17619",0.000276144962453776,0.0158960369412494,0.0139861274505941,"Hdac9/Fbxw7/Jcad/Akt3/Vegfc/Robo1/Prkd1/Prkca/Nrp1/Nr4a1/Spred1",11
"GO:0006887","BP","GO:0006887","exocytosis","22/443","383/17619",0.000295392868786688,0.0159508569637042,0.0140343608451018,"Rab27b/Scrn1/Rab3c/Sv2b/Pex5l/Cacna1h/Unc13a/Cadps2/Exph5/Vsnl1/Cacna1i/Lin7b/Syt2/Rph3a/Rasgrp1/Prkca/Nr4a3/Kcnh1/Cacnb4/Cacna1g/Rims2/Kcnq3",22
"GO:0048588","BP","GO:0048588","developmental cell growth","18/443","282/17619",0.000297418610766119,0.0159508569637042,0.0140343608451018,"Nrn1/Cdkl5/Unc13a/Mgll/Sema6d/Syt2/Slit3/Robo1/Ntrk3/Nrp1/Epha7/Dcx/Cdh4/Bdnf/Rims2/Adrb1/Adra1a/Prickle1",18
"GO:1902809","BP","GO:1902809","regulation of skeletal muscle fiber differentiation","3/443","6/17619",0.000298412468808719,0.0159508569637042,0.0140343608451018,"Hdac9/Rbm24/Hdac4",3
"GO:2000324","BP","GO:2000324","positive regulation of glucocorticoid receptor signaling pathway","3/443","6/17619",0.000298412468808719,0.0159508569637042,0.0140343608451018,"Ppp5c/Ntrk2/Bdnf",3
"GO:0098917","BP","GO:0098917","retrograde trans-synaptic signaling","4/443","14/17619",0.000323023481530339,0.0169120985054661,0.0148801091761843,"Cadm1/Tenm2/Plcb1/Bdnf",4
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis","18/443","284/17619",0.000323928835516722,0.0169120985054661,0.0148801091761843,"Nrn1/Cadm1/Cdkl5/Unc13a/Mgll/Sema6d/Syt2/Slit3/Robo1/Ntrk3/Nrp1/Fgf1/Epha7/Dcx/Cdh4/Bdnf/Rims2/Prickle1",18
"GO:0086003","BP","GO:0086003","cardiac muscle cell contraction","8/443","70/17619",0.000361682516282391,0.0184540283875902,0.0162367761197107,"Cacna1h/Sgcd/Pde4b/Kcnn2/Cacna2d1/Cacna1g/Atp1a1/Adrb1",8
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration","16/443","241/17619",0.000413384369468104,0.020194532184597,0.0177681583140997,"Hdac9/Bmper/Epb41l4b/Fbxw7/Jcad/Akt3/Vegfc/Ptprr/Prkd1/Prkce/Prkca/Enpp2/Nrp1/Irs1/Fgf1/Spred1",16
"GO:0007269","BP","GO:0007269","neurotransmitter secretion","13/443","172/17619",0.000419637571566284,0.020194532184597,0.0177681583140997,"Sv2b/Unc13a/Cadps2/Lin7b/Syt2/Rph3a/Prkca/Ntrk2/Kcnh1/Nr4a1/Grm8/Cacnb4/Rims2",13
"GO:0099643","BP","GO:0099643","signal release from synapse","13/443","172/17619",0.000419637571566284,0.020194532184597,0.0177681583140997,"Sv2b/Unc13a/Cadps2/Lin7b/Syt2/Rph3a/Prkca/Ntrk2/Kcnh1/Nr4a1/Grm8/Cacnb4/Rims2",13
"GO:0007626","BP","GO:0007626","locomotory behavior","17/443","266/17619",0.000428234780100056,0.020194532184597,0.0177681583140997,"Uchl3/Lsamp/Abat/Bahcc1/Mapk10/Sez6/Prkce/Npas2/Oxr1/Grin2a/Cacnb4/Apba2/Alk/Adcy8/Grm5/Etv5/Fig4",17
"GO:0046058","BP","GO:0046058","cAMP metabolic process","4/443","15/17619",0.000431776189247507,0.020194532184597,0.0177681583140997,"Adcy1/Adcy2/Cacnb4/Adcy8",4
"GO:0048013","BP","GO:0048013","ephrin receptor signaling pathway","6/443","40/17619",0.000454067342174403,0.0208036976159497,0.0183041324938833,"Diaph2/Ephb1/Ephb3/Epha7/Epha3/Chn1",6
"GO:0071805","BP","GO:0071805","potassium ion transmembrane transport","14/443","197/17619",0.000476834982797569,0.021626152250112,0.0190277691700083,"Kcnb2/Kcnip4/Kcnip1/Kcnd3/Slc9a5/Kcnq5/Kcnh7/Kcnj3/Kcnh3/Kcnh1/Kcnab1/Kcnn2/Atp1a1/Kcnq3",14
"GO:0017157","BP","GO:0017157","regulation of exocytosis","15/443","221/17619",0.000493004720349556,0.021801459280926,0.0191820130538777,"Rab27b/Rab3c/Sv2b/Cacna1h/Cadps2/Exph5/Vsnl1/Cacna1i/Syt2/Rph3a/Prkca/Kcnh1/Cacnb4/Cacna1g/Rims2",15
"GO:0003015","BP","GO:0003015","heart process","16/443","245/17619",0.000495267003709232,0.021801459280926,0.0191820130538777,"Wwtr1/Cacna1h/Kcnd3/Sgcd/Thrb/Hdac4/Rps6ka2/Prkca/Pde4b/Kcnn2/Chrm3/Cacna2d1/Cacna1g/Atp1a1/Adrb1/Adra1a",16
"GO:0019229","BP","GO:0019229","regulation of vasoconstriction","9/443","92/17619",0.000508515953926854,0.0221673459527337,0.0195039384270565,"Mgll/Per2/Htr7/Htr2a/Hmgcr/Chrm3/Agtr1a/Adra1a/Asic2",9
"GO:0090132","BP","GO:0090132","epithelium migration","19/443","321/17619",0.000522531348343576,0.0225592860967563,0.0198487869466948,"Hdac9/Bmper/Epb41l4b/Fbxw7/Jcad/Akt3/Vegfc/Robo1/Ptprr/Ptp4a3/Prkd1/Prkce/Prkca/Enpp2/Nrp1/Irs1/Nr4a1/Fgf1/Spred1",19
"GO:0034332","BP","GO:0034332","adherens junction organization","7/443","57/17619",0.000541143567849971,0.022922024713645,0.0201679425038822,"Cdh10/Cdh24/Plekha7/Cdh8/Cdh6/Cdh4/Cdh11",7
"GO:0060979","BP","GO:0060979","vasculogenesis involved in coronary vascular morphogenesis","4/443","16/17619",0.000564327046152558,0.0234613744187499,0.0206424893197909,"Nrp1/Fgf9/Fgf1/Spred1",4
"GO:0008037","BP","GO:0008037","cell recognition","12/443","156/17619",0.000591557616799325,0.0241463063584452,0.0212451266588313,"Cadm1/Diaph2/Nrcam/Ephb1/Cntn5/Robo1/Nrp1/Ephb3/Epha3/Emb/Bdnf/Dscaml1",12
"GO:0038084","BP","GO:0038084","vascular endothelial growth factor signaling pathway","6/443","44/17619",0.000767295973699847,0.0280094221293684,0.0246440889113866,"Jcad/Vegfc/Robo1/Ptp4a3/Prkd1/Nrp1",6
"GO:0150094","BP","GO:0150094","amyloid-beta clearance by cellular catabolic process","3/443","8/17619",0.000804676044493711,0.0289937251781546,0.0255101279084783,"Abca7/Ldlr/Ide",3
"GO:0035924","BP","GO:0035924","cellular response to vascular endothelial growth factor stimulus","7/443","61/17619",0.000819331774356369,0.0291968227528579,0.0256888233012486,"Jcad/Vegfc/Robo1/Ptp4a3/Prkd1/Nrp1/Nr4a1",7
"GO:0010976","BP","GO:0010976","positive regulation of neuron projection development","15/443","235/17619",0.000928513522823784,0.0325705134178031,0.0286571648943887,"Nckipsd/Plppr5/Ahi1/Magi2/Tox/Lrrc7/Zfp804a/Prkd1/Ntrk3/Ntrk2/Htr7/Epha3/Bdnf/Alk/Fig4",15
"GO:0060384","BP","GO:0060384","innervation","5/443","31/17619",0.000972801656582413,0.0335990726004233,0.0295621426490186,"Sulf2/Unc13a/Nrp1/Gabrb2/Gabra5",5
"GO:0006813","BP","GO:0006813","potassium ion transport","15/443","237/17619",0.00101158525806386,0.0343186152429173,0.0301952322134963,"Kcnb2/Kcnip4/Kcnip1/Kcnd3/Slc9a5/Kcnq5/Kcnh7/Kcnj3/Kcnh3/Kcnh1/Kcnab1/Htr2a/Kcnn2/Atp1a1/Kcnq3",15
"GO:0035296","BP","GO:0035296","regulation of tube diameter","13/443","189/17619",0.00101656477222895,0.0343186152429173,0.0301952322134963,"Mgll/Plekha7/Per2/Npr3/Htr7/Htr2a/Hmgcr/Chrm3/Cacna1g/Agtr1a/Adrb1/Adra1a/Asic2",13
"GO:0007190","BP","GO:0007190","activation of adenylate cyclase activity","4/443","19/17619",0.00113210946222885,0.0368345759812139,0.0324089001658647,"Adcy1/Rxfp1/Adcy2/Lgr5",4
"GO:0072001","BP","GO:0072001","renal system development","19/443","344/17619",0.00119232920358805,0.0385148066482758,0.0338872510493445,"Tiparp/Wwtr1/Bmper/Sulf2/Zbtb16/Fras1/Robo1/Rara/Pdgfa/Nrp1/Nfia/Fgf1/Lgr5/Epha7/Bdnf/Agtr1a/Lgr4/Prickle1/Klhl3",19
"GO:0019933","BP","GO:0019933","cAMP-mediated signaling","8/443","84/17619",0.0012311615986353,0.0392050750203722,0.034494583648214,"Pex5l/Pde7b/Pde10a/Adcy2/Pde4b/Pde1a/Ksr1/Adcy8",8
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization","23/443","457/17619",0.00133299148683601,0.0421488153231949,0.0370846334328802,"Nckipsd/Plppr5/Ahi1/Magi2/Cdkl5/Tox/Lrrc7/Zfp804a/Tenm1/Hdac4/Robo1/Prkd1/Enpp2/Ntrk3/Ntrk2/Nrp1/Htr7/Epha3/Dcx/Cdh4/Bdnf/Alk/Fig4",23
"GO:0045663","BP","GO:0045663","positive regulation of myoblast differentiation","6/443","49/17619",0.00136772743369553,0.0426465012312009,0.0375225223586208,"Cdon/Smarce1/Map3k5/Neu2/Plcb1/Boc",6
"GO:0048148","BP","GO:0048148","behavioral response to cocaine","4/443","20/17619",0.00138727287431907,0.0426633918198125,0.0375373835423177,"Abat/Homer1/Htr2a/Bdnf",4
"GO:0009100","BP","GO:0009100","glycoprotein metabolic process","19/443","349/17619",0.0014092618317299,0.0428650412294971,0.0377148047671557,"B3galt5/B3gat1/Sulf2/Necab1/Chst8/Mgat4c/Ndst4/Hs3st4/Necab3/Hs6st2/Abca7/St6galnac5/Neu2/Xylt1/Galnt12/St6galnac3/Plcb1/Man2a1/Man1a",19
"GO:0090277","BP","GO:0090277","positive regulation of peptide hormone secretion","11/443","150/17619",0.00145979808280768,0.043989888535614,0.0387045016232937,"Pex5l/Vsnl1/Abat/Myrip/Plcb1/Prkd1/Prkce/Irs1/Chrm3/Cckbr/Adcy8",11
"GO:0052652","BP","GO:0052652","cyclic purine nucleotide metabolic process","5/443","34/17619",0.00149763488704638,0.0448292042855882,0.039442973551474,"Adcy1/Adcy2/Pde1a/Cacnb4/Adcy8",5
"GO:0045211","CC","GO:0045211","postsynaptic membrane","45/448","351/17738",2.01302915605414e-19,8.65602537103278e-17,7.07738671707454e-17,"Adgrl2/Cnih3/Cacna1h/Kcnd3/Cadm1/Gria3/Rgs7bp/Magi2/Syndig1/Adcy1/Cdh10/Cadps2/Nrcam/Slc9a5/Cnksr2/Lrrc7/Lrrc4c/Tenm2/Shisa7/Lin7b/Pcdh17/Abhd17a/Lzts1/Rph3a/Ptprt/Ntrk3/Ntrk2/Nrp1/Kcnh1/Htr7/Htr2a/Grin2a/Grid2/Gabrb2/Gabra1/Kcnn2/Epha7/Chrm3/Cacng2/Cacna2d1/Adra1a/Slc8a3/Gabra5/Grm5/Grm3",45
"GO:0042734","CC","GO:0042734","presynaptic membrane","28/448","237/17738",1.20659702608737e-11,1.45043969407646e-09,1.18591642061576e-09,"Cacna1h/Cadm1/Gria3/Rgs7bp/Unc13a/Cdh10/Cadps2/Cntn5/Slc6a7/Kcnq5/Pcdh17/Slc1a2/Cntnap4/Kcnj3/Kcnh1/Htr7/Htr2a/Grm8/Grin2a/Gpc4/Gabrb2/Chrm3/Cacna2d1/Rims2/Adra1a/Adcy8/Gabra5/Grm3",28
"GO:0034702","CC","GO:0034702","monoatomic ion channel complex","33/448","327/17738",1.34924622704787e-11,1.45043969407646e-09,1.18591642061576e-09,"Kcnb2/Kcnip4/Cnih3/Kcnip1/Nrn1/Pex5l/Cacna1h/Ttyh1/Kcnd3/Gria3/Cacna1i/Kcnq5/Trpc4/Trpc3/Micu1/Ryr3/Ryr1/Pde4b/Kcnh7/Kcnj3/Kcnh3/Kcnh1/Kcnab1/Grin2a/Grid2/Gabrb2/Gabra1/Cacng2/Cacnb4/Cacna2d1/Cacna1g/Gabra5/Kcnq3",33
"GO:0099572","CC","GO:0099572","postsynaptic specialization","37/448","426/17738",6.30603135398903e-11,5.42318696443057e-09,4.43413573101545e-09,"Zdhhc2/Kcnd3/Cadm1/Gria3/Rgs7bp/Magi2/Syndig1/Adcy1/Cdkl5/Cdh10/Nrcam/Homer1/Mapk10/Cnksr2/Lrrc7/Lrrc4c/Shisa7/Abhd17a/Lzts1/Ptprt/Pde4b/Ntrk2/Grin2a/Grid2/Gabrb2/Gabra1/Epha7/Epb41l3/Chrm3/Cacng2/Atp1a1/Adcy8/Slc8a3/Gabra5/Grm5/Grm3/Dgkz",37
"GO:0044309","CC","GO:0044309","neuron spine","25/448","213/17738",1.79174665729516e-10,1.28408510439486e-08,1.0499006728712e-08,"Kcnd3/Gria3/Rgs7bp/Syndig1/Slc9a5/Homer1/Lrrc7/Zfp804a/Tenm2/Shisa7/Lzts1/Slc1a2/Sez6/Rph3a/Pde4b/Ntrk2/Grin2a/Grid2/Kcnn2/Apba2/Palmd/Asic2/Slc8a3/Grm5/Grm3",25
